year;origin_station_name;destination_station_name;origin_city;destination_city;origin_region;destination_region;Passengers_millions;Type;source
2016;Paris Gare du Nord;Paris Gare de Lyon;Paris;Paris;Île-de-France;Île-de-France;1.05;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Paris Saint-Lazare;Paris;Paris;Île-de-France;Île-de-France;1.13;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Paris Montparnasse;Paris;Paris;Île-de-France;Île-de-France;0.88;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Paris Est;Paris;Paris;Île-de-France;Île-de-France;0.93;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Paris Austerlitz;Paris;Paris;Île-de-France;Île-de-France;0.89;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Lyon Part-Dieu;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;9.15;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Lyon Perrache;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;8.91;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Marseille Saint-Charles;Paris;Marseille;Île-de-France;Provence-Alpes-Côte d'Azur;6.52;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Lille Flandres;Paris;Lille;Île-de-France;Hauts-de-France;7.3;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Lille Europe;Paris;Lille;Île-de-France;Hauts-de-France;6.78;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Bordeaux Saint-Jean;Paris;Bordeaux;Île-de-France;Nouvelle-Aquitaine;5.39;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Toulouse Matabiau;Paris;Toulouse;Île-de-France;Occitanie;4.11;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Nantes;Paris;Nantes;Île-de-France;Pays de la Loire;4.05;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Rennes;Paris;Rennes;Île-de-France;Bretagne;4.4;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare du Nord;Strasbourg;Paris;Strasbourg;Île-de-France;Grand Est;4.48;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Paris Gare du Nord;Paris;Paris;Île-de-France;Île-de-France;0.9;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Paris Saint-Lazare;Paris;Paris;Île-de-France;Île-de-France;0.98;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Paris Montparnasse;Paris;Paris;Île-de-France;Île-de-France;1.12;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Paris Est;Paris;Paris;Île-de-France;Île-de-France;0.93;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Paris Austerlitz;Paris;Paris;Île-de-France;Île-de-France;1.1;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Lyon Part-Dieu;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;6.86;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Lyon Perrache;Paris;Lyon;Île-de-France;Auvergne-Rhône-Alpes;7.17;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Marseille Saint-Charles;Paris;Marseille;Île-de-France;Provence-Alpes-Côte d'Azur;6.41;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Lille Flandres;Paris;Lille;Île-de-France;Hauts-de-France;6.06;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Lille Europe;Paris;Lille;Île-de-France;Hauts-de-France;7.29;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
2016;Paris Gare de Lyon;Bordeaux Saint-Jean;Paris;Bordeaux;Île-de-France;Nouvelle-Aquitaine;4.77;TGV/Intercités;SNCF Open Data - Fréquentation en gares, SNCF rapports annuels trafic voyageurs, Eurostat railway passenger transport France
